region	active	city	state	country	lat	long	college_abbr	college	college_long
4A	2	Richardson	TX	USA	32.985454	-96.754319	UT-Dallas	Texas-Dallas	University of Texas-Dallas
4A	2	Austin	TX	USA	30.284919	-97.734057	UT-Austin	Texas	The University of Texas at Austin
4A	2	Houston	TX	USA	29.717394	-95.401831		Rice	Rice University
4A	1	New Orleans	LA	USA	29.940348	-90.120728		Tulane	Tulane University
4A	1	Lafayette	LA	USA	30.211440	-92.020412	UL-Lafayette	Louisiana-Lafayette	University of Louisiana at Lafayette
4A	1	Ruston	LA	USA	32.526375	-92.648110	LA Tech	Louisiana Tech	Louisiana Tech University
4A	1	College Station	TX	USA	30.618531	-96.336499	TAMU	Texas A&M	Texas A&M
4A	1	Denton	TX	USA	33.207488	-97.152586		North Texas	University of North Texas
4A	1	Houston	TX	USA	29.720790	-95.344062	UH	Houston	University of Houston
4A	1	Orange	TX	USA	30.091430	-93.731561	LSC-O	Lamar-Orange	Lamar State College-Orange
4B	0	El Paso	TX	USA	31.770854	-106.504622	UTEP	Texas-El Paso	University of Texas at El Paso
4B	1	Las Cruces	NM	USA	32.276736	-106.747752		NMSU	New Mexico State University
4B	1	Tuscon	AZ	USA	32.235173	-110.950995		Arizona	University of Arizona
4B	2	Tempe	AZ	USA	33.421959	-111.938138	ASU	Arizona State	Arizona State University
5B	2	Berkeley	CA	USA	37.871899	-122.258540		Berkeley	University of California-Berkeley
5B	2	Stanford	CA	USA	37.427475	-122.169719		Stanford	Stanford University
5B	1	San Francisco	CA	USA	37.762626	-122.458515	UCSF	UC San Francisco	University of California-San Francisco
5B	1	Davis	CA	USA	38.538232	-121.761712	UC-Davis	UC Davis	University of California-Davis
5B	0	Fresno	CA	USA	36.812445	-119.745781		Fresno State	California State University-Fresno
5A	2	La Jolla	CA	USA	32.880060	-117.234013	UCSD	UC San Diego	University of California-San Diego
5A	2	Los Angeles	CA	USA	34.068921	-118.445181		UCLA	University of California-Los Angeles
5A	2	Los Angeles	CA	USA	34.021883	-118.285867		USC	University of Southern California
5A	2	Claremont	CA	USA	34.094399	-117.708296		Claremont Colleges	Claremont Colleges
5A	1	Irvine	CA	USA	33.640495	-117.844296	UC-Irvine	UC Irvine	University of California-Irvine
5A	1	Pasadena	CA	USA	34.137658	-118.125269		Caltech	California Institute of Technology
5A	1	Santa Barbara	CA	USA	34.413963	-119.848947	UCSB	UC Santa Barbara	University of California-Santa Barbara
6A	2	Seattle	WA	USA	47.655335	-122.303520	UW	Washington	University of Washington
6A	2	Boise	ID	USA	43.603313	-116.201649		Boise State	Boise State University
6A	1	Eugene	OR	USA	44.044830	-123.072606		Oregon	University of Oregon
6A	1	Portland	OR	USA	45.481243	-122.630884		Reed	Reed College
6A	2	Vancouver	BC	Canada	49.260605	-123.245994	UBC	British Columbia	University of British Columbia
6A	1	Edmonton	AB	Canada	53.5232	-113.5263		Alberta	University of Alberta
6B	2	Boulder	CO	USA	40.007581	-105.265942		Colorado	University of Colorado-Boulder
6B	1	Provo	UT	USA	40.251844	-111.649316	BYU	Brigham Young	Brigham Young University
6B	0	Fort Collins	CO	USA	40.570935	-105.086552	CSU	Colorado State	Colorado State University
6B	0	Colorado Springs	CO	USA	38.892493	-104.799697	UCCS	UC-Colorado Springs	University of Colorado Colorado Springs
7A	1	Edmond	OK	USA	35.654866	-97.471463		Central Oklahoma	University of Central Oklahoma
7A	2	Norman	OK	USA	35.205894	-97.445714		Oklahoma	University of Oklahoma
7A	2	Manhattan	KS	USA	39.197444	-96.584725		Kansas State	Kansas State University
7A	1	Pittsburg	KS	USA	37.390286	-94.691571		Pittsburg State	Pittsburg State University
7A	1	Arkansas City	KS	USA	37.061355	-97.041912		Cowley	Cowley College
7A	1	Garden City	KS	USA	37.970819	-100.849506	GCCC	Garden City	Garden City Community College
7A	1	Iola	KS	USA	37.939440	-95.395470		Allen	Allen Community College
7A	1	Liberal	KS	USA	37.058672	-100.916229	SCCC	Seward County	Seward County Community College
7A	1	Chanute	KS	USA	37.670786	-95.464982	NCCC	Neosho County	Neosho County Community College
7A	1	Coffeyville	KS	USA	37.033913	-95.622790		Coffeyville	Coffeyville Community College
7A	0	Tulsa	OK	USA	36.151988	-95.946000		Tulsa	University of Tulsa
7A	0	Shawnee	OK	USA	35.361250	-96.934085		Oklahoma Baptist	Oklahoma Baptist University
7A	1	Stillwater	OK	USA	36.129580	-97.088537		Oklahoma State	Oklahoma State University
7A	2	Tishomingo	OK	USA	34.222380	-96.677874		Murray State	Murray State College
7A	1	El Reno	OK	USA	35.519993	-97.974400		Redlands	Redlands Community College
7A	1	Fayetteville	AR	USA	36.068836  -94.174927		Arkansas	University of Arkansas
7B	2	Columbia	MO	USA	38.940381	-92.327738	Mizzou	Missouri	University of Missouri-Columbia
7B	2	Kirksville	MO	USA	40.186563	-92.580864		Truman State	Truman State University
7B	2	St. Louis	MO	USA	38.648790	-90.310796		WUSTL	Washington University in St. Louis
7B	1	Rolla	MO	USA	37.952894	-91.773858		Missouri S&T	Missouri University of Science and Technology
8A	2	Minneapolis	MN	USA	44.975354	-93.233074	UMN	Minnesota	University of Minnesota-Twin Cities
8A	1	Appleton	WI	USA	44.261576	-88.398100		Lawrence	Lawrence University
8A	1	Houghton	MI	USA	47.116775	-88.546022		Michigan Tech	Michigan Technological University
8A	1	Marquette	MI	USA	46.559603	-87.404487		Northern Michigan	Northern Michigan University
8A	1	Madison	WI	USA	43.076592	-89.412487		Wisconsin	University of Wisconsin-Madison
8A	1	Northfield	MN	USA	44.461768	-93.182817		St. Olaf	St. Olaf College
8A	0	St. Peter	MN	USA	44.322162	-93.968777		Gustavus Adolphus	Gustavus Adolphus College
8A	1	St. Paul	MN	USA	44.937893	-93.169043		Macalester	Macalester College
8A	1	Carleton	MN	USA	44.461365	-93.155826		Carleton	Carleton College
8A	1	Sioux Falls	SD	USA	43.522604	-96.739689		Augustana	Augustana University
8A	1	Lincoln	NE	USA	40.821528	-96.700390		Nebraska	University of Nebraska-Lincoln
8A	1	Des Moines	IA	USA	41.602913	-93.655298		Drake	Drake University
8A	2	Iowa City	IA	USA	41.662696	-91.554900		Iowa	University of Iowa
8A	1	Grinnell	IA	USA	41.751119	-92.719848		Grinnell	Grinnell College
8A	2	Ames	IA	USA	42.026619	-93.646465		Iowa State	Iowa State University
8A	1	Winnipeg	MB	Canada	49.8075	-97.1366		Manitoba	University of Manitoba
8B	2	Chicago	IL	USA	41.788608	-87.598713		Chicago	The University of Chicago
8B	1	DeKalb	IL	USA	41.929474	-88.750365	NIU	Northern Illinois	Northern Illinois University
8B	2	Evanston	IL	USA	42.056459	-87.675267		Northwestern	Northwestern University
8B	1	Chicago	IL	USA	41.924020	-87.654726		DePaul	DePaul University
8B	2	Urbana-Champaign	IL	USA	40.101952	-88.227161	UIUC	Illinois	University of Illinois at Urbana-Champaign
8B	1	Edwardsville	IL	USA	38.795338	-89.999628	SIUE	Southern Illinois	Southern Illinois University Edwardsville
8B	1	Bloomington	IL	USA	40.490889	-88.990654		Illinois Wesleyan	Illinois Wesleyan University
8B	1	Bloomington	IN	USA	39.169100	-86.519789		Indiana	Indiana University
8B	1	Notre Dame	IN	USA	41.700191	-86.237933		Notre Dame	University of Notre Dame
8B	1	Valparaiso	IN	USA	41.463273	-87.042381		Valparaiso	Valparaiso University
8B	2	West Lafayette	IN	USA	40.423705	-86.921195		Purdue	Purdue University
8C	2	Ann Arbor	MI	USA	42.278044	-83.738224		Michigan	University of Michigan-Ann Arbor
8C	2	East Lansing	MI	USA	42.701848	-84.482172	MSU	Michigan State	Michigan State Univer`sity
8C	2	Columbus	OH	USA	40.014191	-83.030914	OSU	Ohio State	The Ohio State University
8C	1	Detroit	MI	USA	42.359369	-83.071606		Wayne State	Wayne State University
8C	1	Gambier	OH	USA	40.371897	-82.398308		Kenyon	Kenyon College
8C	0	Youngstown	OH	USA	41.106260	-80.647700	YSU	Youngstown State	Youngstown State University
8C	1	Oxford	OH	USA	39.510533	-84.730877		Miami	Miami University
8C	0	Dayton	OH	USA	39.783075	-84.062786		Wright State	Wright State University
8C	2	Cleveland	OH	USA	41.504341	-81.608384		Case Western	Case Western Reserve University
8C	2	Pittsburgh	PA	USA	40.442808	-79.943013	CMU	Carnegie Mellon	Carnegie Mellon University
8C	1	Pittsburgh	PA	USA	40.444353	-79.960835	Pitt	Pittsburgh	Pittsburgh University
8C	1	Morgantown	WV	USA	39.641788	-79.951903	WVU	West Virginia	West Virginia University
CA	2	Waterloo	ON	Canada	43.472285	-80.544858		Waterloo	University of Waterloo
CA	2	Hamilton	ON	Canada	43.260879	-79.919225		McMaster	McMaster University
CA	2	Toronto	ON	Canada	43.662892	-79.395656		Toronto	University of Toronto
CA	2	Kingston	ON	Canada	44.225280	-76.495141		Queen’s	Queen’s University
CA	2	Ottawa	ON	Canada	45.387581	-75.696020	Carleton	Carleton University	Carleton University
CA	2	Ottawa	ON	Canada	45.423106	-75.683133		Ottawa	University of Ottawa
CA	2	Montreal	QC	Canada	45.504785	-73.577151		McGill	McGill University
CA	1	London	ON	Canada	43.0096	-81.2737		Western	University of Western Ontario
CA	1	Niagara-on-the-Lake	ON	Canada	43.1522	-79.1652		Niagara	Niagara College
UK	2	Cambridge	England	UK	52.204267	0.114908		Cambridge	Cambridge
UK	2	London	England	UK	51.498800	-0.174877		Imperial College	Imperial College London
UK	2	Oxford	England	UK	51.754816	-1.254367		Oxford	University of Oxford
UK	2	Oxford	England	UK	51.755520	-1.226159		Oxford Brookes	Oxford Brookes University
UK	2	Coventry	England	UK	52.379442	-1.563193		Warwick	Warwick
UK	2	Southampton	England	UK	50.936580	-1.396017		Southampton	Southampton University
UK	1	London	England	UK	51.469844	-0.089278	KCL	King’s	King’s College London
UK	1	Durham	England	UK	54.768633	-1.572089		Durham	Durham University
UK	1	Manchester	England	UK	53.466004	-2.233008		Manchester	The University of Manchester
UK	1	Bristol	England	UK	51.457612	-2.601620		Bristol	University of Bristol
UK	1	Sheffield	England	UK	53.381529	-1.488530		Sheffield	University of Sheffield
UK	1	Birmingham	England	UK	52.450914	-1.930513		Birmingham	University of Birmingham
UK	1	York	England	UK	53.946247	-1.051803		York	University of York
UK	1	Cardiff	Wales	UK	51.487996	-3.179697		Cardiff	Cardiff University
UK	2	Glasgow	Scotland	UK	55.872315	-4.289219		Glasgow	University of Glasgow
UK	1	Edinburgh	Scotland	UK	55.944516	-3.189241		Edinburgh	University of Edinburgh
UK	1	Dundee	Scotland	UK	56.457967	-2.982148		Dundee	University of Dundee
UK	1	Belfast	Northern Ireland	UK	54.584409	-5.934049		Queen’s	Queen’s University Belfast
